PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,TotalExpenditure,Name
0075_01,Earth,False,G,TRAPPIST-1e,19.0,False,628.0,Shally Jimes
0079_01,Earth,True,G,TRAPPIST-1e,48.0,False,0.0,Verney Sullones
0080_01,Earth,False,G,TRAPPIST-1e,23.0,False,907.0,Wandy Llobsoney
0083_01,Earth,False,G,TRAPPIST-1e,24.0,False,784.0,Lilasa Barris
0087_01,Earth,False,E,TRAPPIST-1e,19.0,False,787.0,Meremy Jarvey
0089_01,Mars,True,F,TRAPPIST-1e,24.0,False,0.0,Ors Cha
0093_01,Earth,False,G,TRAPPIST-1e,27.0,False,1817.0,Krisa Dukertyler
0094_01,Earth,True,G,TRAPPIST-1e,6.0,False,0.0,Jaye Santantines
0094_02,Mars,False,F,TRAPPIST-1e,33.0,False,866.0,Terta Santantines
0095_01,Mars,False,F,PSO J318.5-22,23.0,False,1235.0,Toddie Benderez
0096_01,Mars,False,F,PSO J318.5-22,30.0,False,2070.0,Leenny Swanardy
0100_01,Earth,False,G,TRAPPIST-1e,26.0,False,1014.0,Dary Cochrisons
0100_02,Earth,False,G,TRAPPIST-1e,1.0,False,0.0,Mael Cochrisons
0104_01,Mars,False,F,TRAPPIST-1e,20.0,False,600.0,Alene Rochan
0106_01,Mars,True,F,TRAPPIST-1e,17.0,False,0.0,Therly Puckenton
0109_01,Mars,False,F,TRAPPIST-1e,34.0,False,596.0,Tonald Wolferton
0117_01,Earth,False,E,PSO J318.5-22,24.0,False,790.0,Megany Ewiseston
0118_01,Earth,False,G,TRAPPIST-1e,29.0,False,886.0,Troyce Moodmandez
0121_01,Mars,False,F,TRAPPIST-1e,20.0,False,2616.0,Kendy Mayson
0124_01,Earth,True,G,55 Cancri e,5.0,False,0.0,Karay Camerrison
0125_01,Europa,True,B,55 Cancri e,22.0,False,0.0,Saiphda Fulatorly
0125_02,Europa,False,B,TRAPPIST-1e,16.0,False,9296.0,Hadira Fulatorly
0130_01,Earth,True,G,55 Cancri e,7.0,False,0.0,Catha Gilesonston
0131_01,Mars,False,F,55 Cancri e,36.0,False,607.0,Vine Simstravery
0132_01,Mars,False,D,55 Cancri e,26.0,False,2763.0,Stech Potte
0135_01,Mars,False,F,TRAPPIST-1e,40.0,False,928.0,Rica Hammonton
0137_01,Earth,True,G,TRAPPIST-1e,29.0,False,0.0,Jilley Harry
0142_01,Mars,True,F,TRAPPIST-1e,2.0,False,0.0,Oakes Buth
0142_02,Mars,False,F,TRAPPIST-1e,23.0,False,1289.0,Swafox Buth
0142_03,Mars,False,F,TRAPPIST-1e,0.0,False,0.0,Gacke Buth
0143_01,Europa,False,C,55 Cancri e,30.0,False,18513.0,Alaton Unloweedic
0145_01,Earth,False,E,TRAPPIST-1e,56.0,False,790.0,Arlie Hodes
0150_01,Europa,True,B,TRAPPIST-1e,36.0,False,0.0,Menkaa Slowatic
0150_02,Europa,True,B,TRAPPIST-1e,56.0,False,0.0,Wasalm Slowatic
0153_01,Mars,False,F,TRAPPIST-1e,19.0,False,776.0,Wandy Meleon
0154_01,Earth,True,G,PSO J318.5-22,39.0,False,0.0,Dorah Brenney
0155_01,Mars,False,F,TRAPPIST-1e,38.0,False,1389.0,Ritars Harta
0156_01,Mars,False,F,TRAPPIST-1e,26.0,False,0.0,Tures Upead
0157_01,Europa,False,A,TRAPPIST-1e,35.0,False,2550.0,Dabit Fulazy
0158_01,Earth,False,E,55 Cancri e,26.0,False,989.0,Dawne Jacobbinson
0158_02,Mars,False,F,TRAPPIST-1e,31.0,False,705.0,Nelle Jacobbinson
0159_01,Mars,False,F,TRAPPIST-1e,38.0,False,759.0,Vanie Irwines
0161_01,Mars,False,F,55 Cancri e,27.0,False,1183.0,Adamy Donson
0162_01,Mars,True,F,55 Cancri e,30.0,False,0.0,Lix Ble
0166_01,Earth,False,G,TRAPPIST-1e,22.0,False,772.0,Essara Rocholton
0168_01,Europa,True,C,TRAPPIST-1e,29.0,False,0.0,Saxinon Oradly
0175_01,Earth,True,G,TRAPPIST-1e,0.0,False,0.0,Celis Benney
0175_02,Earth,True,G,55 Cancri e,8.0,False,0.0,Elody Benney
0175_03,Earth,True,G,TRAPPIST-1e,3.0,False,0.0,Leence Benney
0175_04,Earth,True,G,TRAPPIST-1e,27.0,False,0.0,Eulah Benney
0175_05,Earth,False,G,TRAPPIST-1e,9.0,False,0.0,Robyny Benney
0176_01,Mars,False,F,PSO J318.5-22,29.0,False,827.0,Sanya Stannondez
0180_01,Mars,False,F,TRAPPIST-1e,18.0,False,931.0,Ronia Kellynn
0184_01,Earth,False,E,TRAPPIST-1e,22.0,False,1372.0,Panter Gerry
0185_01,Mars,False,F,TRAPPIST-1e,24.0,False,1421.0,Alls Cooki
0187_01,Mars,True,F,55 Cancri e,25.0,False,0.0,Ranuts Kidne
0191_01,Mars,False,F,TRAPPIST-1e,36.0,False,932.0,Vanez Currisones
0194_01,Europa,True,C,TRAPPIST-1e,14.0,False,0.0,Ruchbia Extraly
0194_02,Europa,True,C,55 Cancri e,24.0,False,0.0,Algrafi Extraly
0194_03,Europa,False,C,55 Cancri e,26.0,True,5010.0,Polar Extraly
0204_01,Mars,False,F,PSO J318.5-22,29.0,False,2068.0,Gracy Goldendrice
0208_01,Earth,False,G,TRAPPIST-1e,40.0,False,627.0,Mael Vales
0209_01,Europa,False,B,TRAPPIST-1e,36.0,False,14509.0,Grasath Clindy
0214_01,Earth,False,E,TRAPPIST-1e,46.0,False,3678.0,Gorabba Pistage
0214_02,Earth,False,E,TRAPPIST-1e,42.0,False,4827.0,Genons Pistage
0215_01,Earth,True,G,TRAPPIST-1e,23.0,False,0.0,Jaimez Waterson
0218_01,Earth,False,G,TRAPPIST-1e,19.0,False,754.0,Jenne Alshipson
0226_01,Mars,False,D,55 Cancri e,25.0,False,13465.0,Brakis Matimple
0227_01,Mars,True,,TRAPPIST-1e,22.0,False,0.0,Kurta Buckentry
0228_01,Europa,True,B,TRAPPIST-1e,35.0,False,0.0,Azhasim Dompul
0228_02,Europa,False,B,55 Cancri e,39.0,False,27000.0,Zedark Asharing
0228_03,Europa,True,B,55 Cancri e,42.0,False,0.0,Alurops Dompul
0228_04,Europa,False,B,TRAPPIST-1e,35.0,False,9694.0,Aviton Dompul
0230_01,Mars,True,F,PSO J318.5-22,29.0,False,0.0,Daisya Burksson
0230_02,Mars,False,F,TRAPPIST-1e,20.0,False,786.0,Ren Burksson
0235_01,Earth,True,G,TRAPPIST-1e,25.0,False,0.0,Monard Hickerson
0236_01,Mars,True,F,TRAPPIST-1e,36.0,False,0.0,Poloos Nutte
0238_01,Mars,False,D,TRAPPIST-1e,39.0,False,2578.0,Set Chcak
0247_01,Mars,True,D,55 Cancri e,23.0,False,0.0,Rasaleh Gulcepusy
0247_02,Mars,True,D,55 Cancri e,19.0,False,0.0,Bath Gulcepusy
0249_01,Earth,False,G,TRAPPIST-1e,50.0,False,907.0,Luise Prickmantes
0256_01,Mars,False,F,PSO J318.5-22,41.0,False,728.0,Kerryn Bensley
0259_01,Mars,False,F,55 Cancri e,19.0,False,2925.0,Fow Floaf
0262_01,Earth,False,G,TRAPPIST-1e,20.0,False,888.0,
0264_01,Europa,True,B,55 Cancri e,19.0,False,0.0,Hasim Anindery
0264_02,Europa,True,B,TRAPPIST-1e,38.0,False,0.0,Okulus Anindery
0264_03,Europa,False,B,55 Cancri e,32.0,False,11113.0,Deneba Anindery
0266_01,Earth,False,E,TRAPPIST-1e,44.0,False,1298.0,Chtios Muff
0266_02,Mars,False,F,TRAPPIST-1e,18.0,False,1680.0,Panzel Muff
0268_01,Mars,False,F,TRAPPIST-1e,49.0,False,1709.0,Hony Nutca
0268_02,Earth,False,E,55 Cancri e,23.0,False,3188.0,Libers Nutca
0271_01,Earth,False,G,TRAPPIST-1e,31.0,False,922.0,Jilly Alfordonard
0272_01,Mars,False,D,TRAPPIST-1e,55.0,False,1057.0,Gramus Graie
0273_01,Mars,False,F,TRAPPIST-1e,60.0,False,7082.0,Wales Ste
0273_02,Mars,True,F,TRAPPIST-1e,20.0,False,0.0,Triesh Ste
0273_03,Earth,False,E,TRAPPIST-1e,34.0,False,1299.0,Apench Ste
0274_01,Earth,False,E,TRAPPIST-1e,14.0,False,2081.0,Felios Melto
0274_02,Earth,True,E,TRAPPIST-1e,26.0,False,4141.0,Bats Melto
0276_01,Europa,False,B,55 Cancri e,19.0,False,4509.0,Okula Pabler
0276_02,Europa,True,B,TRAPPIST-1e,25.0,False,0.0,Zedark Pabler
0279_01,Mars,False,F,55 Cancri e,42.0,False,721.0,Arllia Conleydenan
0280_01,Mars,False,F,TRAPPIST-1e,18.0,False,902.0,Andyn Mcfaddoxter
0284_01,Earth,False,E,TRAPPIST-1e,50.0,False,1299.0,Cers Datie
0292_01,Mars,False,F,TRAPPIST-1e,26.0,False,1360.0,Jillie Chardsonnon
0293_01,Mars,True,,TRAPPIST-1e,47.0,False,0.0,Tauxon Suptibler
0295_01,Mars,False,F,PSO J318.5-22,35.0,False,744.0,Guyl Hardley
0296_01,Mars,False,F,55 Cancri e,58.0,False,1473.0,Kohs Cort
0299_01,Mars,False,F,55 Cancri e,20.0,False,619.0,Dellia Hickett
0300_01,Mars,False,D,TRAPPIST-1e,28.0,False,17176.0,Mahamak Ofracculy
0308_01,Earth,True,G,PSO J318.5-22,12.0,False,0.0,
0311_01,Earth,False,E,55 Cancri e,20.0,False,10.0,Coreen Simmonders
0312_01,Earth,True,G,TRAPPIST-1e,22.0,False,0.0,Adrie Hoffergess
0317_01,Earth,False,G,TRAPPIST-1e,31.0,False,723.0,Philda Medington
0318_01,Earth,True,G,PSO J318.5-22,24.0,False,0.0,Robyna Solon
0319_01,Earth,False,E,TRAPPIST-1e,17.0,False,2099.0,Ranats Prie
0319_02,Mars,True,F,55 Cancri e,26.0,False,0.0,Pigars Prie
0323_01,Mars,True,,55 Cancri e,18.0,False,0.0,Joyn Gaineyerson
0325_01,Earth,False,G,TRAPPIST-1e,48.0,False,758.0,Searla Mccarveymon
0328_01,Mars,False,F,TRAPPIST-1e,38.0,False,1256.0,Verney Singtons
0329_01,Europa,True,B,55 Cancri e,33.0,False,0.0,Iononus Rewmid
0332_01,Earth,True,G,TRAPPIST-1e,20.0,False,0.0,Shany Pooles
0335_01,Earth,False,E,TRAPPIST-1e,22.0,False,0.0,Rionk Coff
0339_01,Mars,False,F,TRAPPIST-1e,52.0,False,802.0,Alley Barnolderg
0339_02,Mars,False,F,55 Cancri e,15.0,False,645.0,Alber Colleruces
0339_03,Mars,False,F,TRAPPIST-1e,25.0,False,776.0,Kirky Colleruces
0339_04,Earth,True,G,55 Cancri e,14.0,False,0.0,Shelle Perkings
0339_05,Earth,True,G,55 Cancri e,26.0,False,0.0,Davisy Colleruces
0339_06,Mars,False,F,TRAPPIST-1e,16.0,False,1938.0,Wandy Colleruces
0339_07,Earth,False,G,TRAPPIST-1e,48.0,False,1018.0,Berta Barnolderg
0339_08,Mars,False,F,TRAPPIST-1e,36.0,False,865.0,Shalle Barnolderg
0342_01,Earth,False,E,PSO J318.5-22,19.0,False,684.0,Teryla Headardyer
0342_02,Earth,True,G,PSO J318.5-22,43.0,False,0.0,Blanie Headardyer
0344_01,Europa,True,C,TRAPPIST-1e,32.0,False,0.0,Zibah Stranbeate
0344_02,Europa,False,C,55 Cancri e,54.0,False,9288.0,
0349_01,Europa,True,A,TRAPPIST-1e,33.0,False,10352.0,Meropus Ametic
0349_02,Europa,True,A,TRAPPIST-1e,21.0,False,0.0,Kaffias Ametic
0349_03,Europa,False,A,TRAPPIST-1e,33.0,False,2626.0,Misadr Ametic
0349_04,Europa,True,A,55 Cancri e,28.0,False,0.0,Alderak Ametic
0349_05,Europa,False,A,TRAPPIST-1e,23.0,False,3365.0,Celavar Ametic
0349_06,Europa,False,A,TRAPPIST-1e,26.0,False,2443.0,Duhratz Ametic
0351_01,Mars,True,F,TRAPPIST-1e,41.0,False,0.0,Macon Fache
0353_01,Earth,True,G,TRAPPIST-1e,2.0,False,0.0,Arla Jacostanley
0353_02,Earth,True,G,PSO J318.5-22,21.0,False,0.0,Delley Jacostanley
0354_01,Mars,False,F,PSO J318.5-22,70.0,False,1380.0,Hary Waltonson
0362_01,Mars,False,F,TRAPPIST-1e,20.0,False,1707.0,Eddiey Gardonadox
0363_01,Earth,False,E,TRAPPIST-1e,31.0,False,996.0,Doray Fowlesterez
0363_02,Earth,False,E,TRAPPIST-1e,8.0,False,0.0,Kimmy Fowlesterez
0363_03,Earth,True,E,TRAPPIST-1e,5.0,False,0.0,Jenn Fowlesterez
0364_01,Mars,False,F,TRAPPIST-1e,45.0,False,1224.0,Cinkes Chité
0364_02,Mars,False,,TRAPPIST-1e,37.0,False,1298.0,Anakes Chité
0366_01,Earth,True,G,TRAPPIST-1e,24.0,False,0.0,
0367_01,Mars,False,D,55 Cancri e,55.0,False,5832.0,Misa Dischod
0374_01,Mars,False,F,TRAPPIST-1e,18.0,False,804.0,Harrie Sterreray
0374_02,Mars,False,,TRAPPIST-1e,36.0,False,789.0,Tamie Sterreray
0386_01,Mars,False,D,TRAPPIST-1e,59.0,False,1678.0,Docoos Fiha
0390_01,Earth,True,G,TRAPPIST-1e,61.0,False,0.0,Anda Mejiaddox
0393_01,Earth,False,G,55 Cancri e,46.0,False,4927.0,Dellia Whitledges
0394_01,Mars,False,F,TRAPPIST-1e,29.0,False,1349.0,Seat Facke
0399_01,Earth,True,G,TRAPPIST-1e,18.0,False,0.0,Rayle Lewinton
0400_01,Europa,True,C,TRAPPIST-1e,20.0,False,0.0,Azaleha Aroodint
0404_01,Mars,False,F,TRAPPIST-1e,28.0,False,2223.0,Tot Kate
0406_01,Mars,False,F,TRAPPIST-1e,26.0,False,901.0,Ryany Prinson
0414_01,Mars,False,F,TRAPPIST-1e,32.0,False,3177.0,Bara Hutchinton
0416_01,Earth,False,E,TRAPPIST-1e,18.0,False,663.0,Lina Ocherman
0418_01,Mars,False,F,TRAPPIST-1e,50.0,False,737.0,Salley Brantuarez
0419_01,Earth,False,G,TRAPPIST-1e,47.0,False,808.0,Line Monsoney
0419_02,Earth,True,G,PSO J318.5-22,15.0,False,0.0,
0419_03,Earth,True,G,TRAPPIST-1e,35.0,False,0.0,Erman Monsoney
0420_01,Mars,False,F,TRAPPIST-1e,49.0,False,3187.0,Sethew Kellson
0421_01,Europa,False,C,55 Cancri e,32.0,False,8449.0,Eleb Bradiary
0422_01,Earth,False,G,TRAPPIST-1e,63.0,False,1873.0,Eline Hooperez
0424_01,Mars,False,F,TRAPPIST-1e,54.0,False,1598.0,Fow Tité
0426_01,Mars,False,F,TRAPPIST-1e,21.0,False,776.0,Branca Hoppers
0440_01,Mars,False,D,TRAPPIST-1e,38.0,False,2577.0,Supce Gre
0443_01,Earth,False,E,TRAPPIST-1e,50.0,False,0.0,Beeres Erpie
0450_01,Mars,False,F,PSO J318.5-22,32.0,False,1548.0,Bobara Mallerez
0451_01,Europa,True,C,55 Cancri e,33.0,False,0.0,Eltares Witive
0455_01,Mars,False,D,TRAPPIST-1e,30.0,False,1399.0,Winork Aiming
0464_01,Earth,True,G,TRAPPIST-1e,28.0,False,0.0,Dwindy Emenez
0467_01,Mars,True,D,TRAPPIST-1e,22.0,False,0.0,Gonut Keen
0467_02,Mars,True,D,TRAPPIST-1e,26.0,False,0.0,Cings Keen
0467_03,Mars,True,D,55 Cancri e,37.0,False,0.0,Crunch Keen
0467_04,Mars,False,D,TRAPPIST-1e,59.0,False,2789.0,Choney Keen
0469_01,Europa,False,C,TRAPPIST-1e,31.0,False,5278.0,Zanino Femoused
0473_01,Mars,False,F,TRAPPIST-1e,25.0,False,803.0,Randa Sweett
0478_01,Europa,False,C,TRAPPIST-1e,38.0,False,7869.0,Gimph Mallisly
0478_02,Europa,True,C,55 Cancri e,37.0,False,0.0,Aldun Mallisly
0479_01,Europa,True,B,55 Cancri e,44.0,False,0.0,Merabik Trovetert
0483_01,Mars,True,D,TRAPPIST-1e,28.0,False,0.0,Caphact Flutorly
0483_02,Mars,False,D,TRAPPIST-1e,45.0,False,0.0,Alatik Flutorly
0484_01,Mars,True,F,55 Cancri e,53.0,False,0.0,Eles Hotty
0486_01,Earth,False,G,55 Cancri e,21.0,False,708.0,Wallyn Gletonerson
0489_01,Earth,True,E,TRAPPIST-1e,33.0,False,0.0,Fal Knike
0489_02,Mars,True,F,TRAPPIST-1e,18.0,False,0.0,Rios Knike
0491_01,Mars,False,F,PSO J318.5-22,37.0,False,1685.0,Len Cobson
0492_01,Mars,False,D,TRAPPIST-1e,34.0,False,1057.0,Eggies Pate
0493_01,Earth,True,G,TRAPPIST-1e,46.0,False,0.0,
0494_01,Europa,True,C,55 Cancri e,18.0,False,0.0,Mizark Ereatible
0494_02,Europa,False,C,TRAPPIST-1e,19.0,False,2264.0,Weznif Ereatible
0495_01,Earth,True,G,TRAPPIST-1e,4.0,False,0.0,Nelly Richan
0495_02,Earth,True,G,TRAPPIST-1e,0.0,False,0.0,Monard Richan
0495_03,Earth,True,G,TRAPPIST-1e,12.0,False,0.0,Etha Richan
0495_04,Earth,False,G,TRAPPIST-1e,7.0,False,0.0,Bonyam Richan
0495_05,Earth,False,G,TRAPPIST-1e,34.0,False,3044.0,Ellena Richan
0495_06,Earth,False,G,TRAPPIST-1e,10.0,False,0.0,Man Richan
0496_01,Earth,False,G,55 Cancri e,0.0,False,0.0,Belix Kennetty
0496_02,Earth,True,G,PSO J318.5-22,14.0,False,0.0,Ianna Kennetty
0497_01,Mars,True,F,TRAPPIST-1e,27.0,False,0.0,Muebix Mepie
0505_01,Mars,False,F,TRAPPIST-1e,21.0,False,864.0,Paulah Reenez
0508_01,Mars,False,D,55 Cancri e,37.0,False,6751.0,Elerops Cassiding
0509_01,Mars,True,,TRAPPIST-1e,29.0,False,0.0,Alfrey Ewins
0511_01,Earth,False,G,TRAPPIST-1e,17.0,False,892.0,Jaye Noelan
0514_01,Earth,True,G,TRAPPIST-1e,17.0,False,0.0,Erie Tersony
0524_01,Europa,False,T,TRAPPIST-1e,35.0,False,7412.0,Tabius Frogauded
0526_01,Earth,True,G,TRAPPIST-1e,34.0,False,0.0,Elody Daughessey
0530_01,Europa,False,B,TRAPPIST-1e,17.0,False,3999.0,Jihalla Embleng
0530_02,Europa,False,B,55 Cancri e,39.0,False,6309.0,Geonkaa Embleng
0530_03,Europa,True,B,55 Cancri e,56.0,False,0.0,Unukat Embleng
0532_01,Europa,False,B,55 Cancri e,35.0,False,5016.0,Quarkib Groughty
0532_02,Europa,True,B,TRAPPIST-1e,17.0,False,0.0,Rasalm Groughty
0535_01,Earth,False,E,PSO J318.5-22,29.0,False,683.0,Adria Mcneiley
0536_01,Mars,False,F,TRAPPIST-1e,15.0,False,7349.0,Pid Vloaf
0536_02,Earth,False,E,TRAPPIST-1e,37.0,False,1297.0,Blues Vloaf
0541_01,Europa,True,B,TRAPPIST-1e,36.0,False,0.0,Jabbab Dident
0543_01,Earth,True,G,TRAPPIST-1e,36.0,False,0.0,Yolas Pooley
0544_01,Europa,False,C,TRAPPIST-1e,18.0,False,9412.0,Lesaton Healist
0554_01,Mars,False,F,TRAPPIST-1e,61.0,False,2222.0,Chars Fone
0557_01,Mars,True,F,TRAPPIST-1e,45.0,False,0.0,Caks Spie
0557_02,Mars,True,F,TRAPPIST-1e,21.0,False,0.0,Mall Spie
0558_01,Mars,False,F,TRAPPIST-1e,65.0,False,804.0,Julion Llonovancis
0562_01,Mars,False,F,TRAPPIST-1e,27.0,False,1309.0,Bases Shcad
0562_02,Mars,True,F,TRAPPIST-1e,13.0,False,0.0,Sex Shcad
0574_01,Mars,False,,TRAPPIST-1e,32.0,False,2599.0,Mele Sha
0578_01,Earth,True,G,TRAPPIST-1e,17.0,False,0.0,Dont Hoppers
0578_02,Earth,True,G,TRAPPIST-1e,44.0,False,0.0,Nance Hoppers
0584_01,Earth,True,G,TRAPPIST-1e,21.0,False,0.0,Charry Hortis
0584_02,Mars,False,F,TRAPPIST-1e,16.0,False,2868.0,Caseya Hortis
0592_01,Mars,False,F,TRAPPIST-1e,41.0,False,1064.0,Juane Bakerson
0595_01,Earth,True,G,TRAPPIST-1e,40.0,False,0.0,Royce Yatters
0601_01,Earth,False,G,TRAPPIST-1e,16.0,False,492.0,Gracy Warrison
0604_01,Mars,False,F,TRAPPIST-1e,17.0,False,697.0,Loisey Meltonway
0605_01,Mars,False,F,TRAPPIST-1e,40.0,False,879.0,Brank Romason
0606_01,Earth,True,G,PSO J318.5-22,37.0,False,0.0,Elly Masquez
0613_01,Europa,True,B,TRAPPIST-1e,53.0,False,0.0,Auvan Stubtlarle
0613_02,Europa,True,B,TRAPPIST-1e,42.0,False,0.0,Tetra Stubtlarle
0616_01,Earth,False,E,TRAPPIST-1e,31.0,False,2765.0,Arkaban Spriney
0617_01,Mars,False,F,TRAPPIST-1e,18.0,False,2232.0,Choney Perta
0620_01,Mars,False,F,TRAPPIST-1e,51.0,True,1147.0,All Derte
0620_02,Mars,False,F,TRAPPIST-1e,20.0,False,1289.0,Frunad Derte
0620_03,Mars,False,F,55 Cancri e,19.0,False,1450.0,Gibers Derte
0621_01,Earth,False,E,TRAPPIST-1e,22.0,False,787.0,Calvia Spentley
0622_01,Europa,False,B,55 Cancri e,41.0,False,11799.0,Alram Contery
0624_01,Earth,False,E,TRAPPIST-1e,28.0,False,2539.0,Spurin Cisorter
0625_01,Mars,True,F,55 Cancri e,0.0,False,0.0,Trise Perie
0625_02,Mars,True,F,TRAPPIST-1e,42.0,False,0.0,
0625_03,Mars,True,F,55 Cancri e,20.0,False,0.0,Flats Perie
0626_01,Europa,True,B,55 Cancri e,25.0,False,0.0,Aludram Impress
0626_02,Europa,True,B,TRAPPIST-1e,22.0,False,0.0,Dyonon Emoted
0626_03,Mars,False,D,TRAPPIST-1e,25.0,True,7133.0,Askedus Emoted
0627_01,Mars,False,D,TRAPPIST-1e,45.0,False,1057.0,Pil Bake
0632_01,Mars,False,F,TRAPPIST-1e,19.0,False,865.0,Idary Hebernandry
0632_02,Earth,False,E,PSO J318.5-22,16.0,False,1532.0,Lilly Hebernandry
0632_03,Earth,True,G,TRAPPIST-1e,18.0,False,0.0,Terald Hebernandry
0640_01,Mars,True,D,TRAPPIST-1e,38.0,False,0.0,Suhelik Dedinder
0640_02,Mars,True,D,55 Cancri e,27.0,False,0.0,Tope Dedinder
0648_01,Mars,False,D,55 Cancri e,36.0,False,970.0,Phams Colte
0648_02,Mars,False,D,TRAPPIST-1e,21.0,False,2578.0,Possh Colte
0649_01,Earth,False,G,TRAPPIST-1e,1.0,False,0.0,Andary Clean
0651_01,Mars,True,D,TRAPPIST-1e,25.0,False,0.0,Terons Lendly
0652_01,Earth,True,G,PSO J318.5-22,3.0,False,0.0,Natald Ashipson
0652_02,Earth,False,G,TRAPPIST-1e,7.0,False,0.0,Marace Ashipson
0652_03,Earth,False,G,TRAPPIST-1e,0.0,False,0.0,Analdy Ashipson
0652_04,Mars,False,F,TRAPPIST-1e,32.0,False,634.0,Mara Ashipson
0652_05,Earth,False,G,55 Cancri e,5.0,False,0.0,Eila Ashipson
0654_01,Earth,False,G,TRAPPIST-1e,79.0,False,888.0,Tance Coley
0662_01,Mars,False,F,TRAPPIST-1e,19.0,False,748.0,Marice Mcgowaymond
0666_01,Earth,True,G,TRAPPIST-1e,30.0,False,0.0,Willy Antoshipson
0666_02,Mars,False,F,TRAPPIST-1e,13.0,False,876.0,Weney Antoshipson
0667_01,Mars,False,D,TRAPPIST-1e,53.0,False,2709.0,Errohs Terry
0670_01,Earth,False,E,TRAPPIST-1e,40.0,False,1358.0,Cocowl Pure
0670_02,Earth,False,E,TRAPPIST-1e,32.0,False,1299.0,Sumpix Pure
0673_01,Earth,True,G,55 Cancri e,31.0,False,1415.0,Jeanna Cookson
0675_01,Earth,False,E,TRAPPIST-1e,63.0,False,1619.0,Vanney Buckentry
0676_01,Mars,False,F,TRAPPIST-1e,18.0,False,54.0,
0681_01,Earth,True,G,TRAPPIST-1e,21.0,False,0.0,Stanya Pacerty
0692_01,Mars,False,F,TRAPPIST-1e,14.0,False,1838.0,Almara Hallahaney
0694_01,Earth,True,G,PSO J318.5-22,41.0,False,0.0,Stelly Hurchrisong
0695_01,Earth,True,G,55 Cancri e,40.0,False,0.0,Benda Chroeders
0698_01,Mars,False,F,TRAPPIST-1e,58.0,False,801.0,Fery Prickmantes
0700_01,Mars,False,F,TRAPPIST-1e,22.0,False,595.0,Garion Gardsondez
0706_01,Earth,True,G,55 Cancri e,13.0,False,0.0,Roydo Kirks
0708_01,Europa,True,B,TRAPPIST-1e,16.0,False,0.0,Diph Obnoftle
0708_02,Europa,True,B,55 Cancri e,13.0,False,0.0,Kabens Pronfraked
0711_01,Mars,False,F,TRAPPIST-1e,15.0,False,2365.0,Want Batte
0716_01,Earth,False,E,TRAPPIST-1e,42.0,False,1049.0,Booss Tike
0717_01,Europa,True,B,TRAPPIST-1e,24.0,False,0.0,Jihoton Panspic
